"","Accession","Gene_Name"
"292","Q7KZI7","MARK2"
"293","Q7L1Q6","BZW1"
"294","Q7L4P6","BEND5"
"295","Q7RTV0","PHF5A"
"296","Q7Z2Z1","TICRR"
"297","Q7Z3E1","TIPARP"
"298","Q7Z4S6","KIF21A"
"299","Q7Z4V5","HDGFL2"
"300","Q7Z5P9","MUC19"
"301","Q7Z6J0","SH3RF1"
"302","Q7Z6P3","RAB44"
"303","Q7Z7G0","ABI3BP"
"304","Q86UU1","PHLDB1"
"305","Q86VE3","SATL1"
"306","Q86W50","METTL16"
"307","Q86W56","PARG"
"308","Q86WT1","IFT70A"
"309","Q86WZ0","HEATR4"
"310","Q86XN8","MEX3D"
"311","Q86YF9","DZIP1"
"312","Q8IV77","CNGA4"
"313","Q8IVT2","MISP"
"314","Q8IW93","ARHGEF19"
"315","Q8IWZ3","ANKHD1"
"316","Q99460","PSMD1"
"317","Q13200","PSMD2"
"318","P43686","PSMC4"
"319","O00231","PSMD11"
"320","P62195","PSMC5"
"321","O43242","PSMD3"
"322","O00232","PSMD12"
"323","P62191","PSMC1"
"324","P17980","PSMC3"
"325","P35998","PSMC2"
"326","P62333","PSMC6"
"327","Q5VYK3","ECPAS"
"328","Q15008","PSMD6"
"329","Q9UNM6","PSMD13"
"330","P51665","PSMD7"
"331","Q16401","PSMD5"
"332","P54578","USP14"
"333","P25787","PSMA2"
"334","P25786","PSMA1"
"335","O00487","PSMD14"
"336","Q9Y5K5","UCHL5"
"337","P28074","PSMB5"
"338","P28066","PSMA5"
"339","P55036","PSMD4"
"340","P48556","PSMD8"
"341","P20618","PSMB1"
"342","P60900","PSMA6"
"343","O14818","PSMA7"
"344","P49720","PSMB3"
"345","P49721","PSMB2"
"346","P25788","PSMA3"
"347","O75832","PSMD10"
"348","P28070","PSMB4"
"349","O43396","TXNL1"
"350","Q16186","ADRM1"
"351","P28072","PSMB6"
"352","P25789","PSMA4"
"353","Q99436","PSMB7"
"354","P62979","RPS27A"
"355","Q15386","UBE3C"
"356","Q14997","PSME4"
"357","P04264","KRT1"
"358","Q00610","CLTC"
"359","P07900","HSP90AA1"
"360","P08238","HSP90AB1"
"361","Q05086","UBE3A"
"362","Q9BRP4","PAAF1"
"363","P35527","KRT9"
"364","P68104","EEF1A1"
"365","Q8WVY7","UBLCP1"
"366","P07437","TUBB"
"367","P62701","RPS4X"
"368","Q02952","AKAP12"
"369","P54727","RAD23B"
"370","P68371","TUBB4B"
"371","P63244","RACK1"
"372","P23396","RPS3"
"373","P68363","TUBA1B"
"374","P13645","KRT10"
"375","P60709","ACTB"
"376","P29692","EEF1D"
"377","Q14152","EIF3A"
"378","P22061","PCMT1"
"379","P62241","RPS8"
"380","P06748","NPM1"
"381","P26641","EEF1G"
"382","P61247","RPS3A"
"383","Q9UMX0","UBQLN1"
"384","P02538","KRT6A"
"385","P62269","RPS18"
"386","Q7L2H7","EIF3M"
"387","P08865","RPSA"
"388","P46379","BAG6"
"389","P08779","KRT16"
"390","P62249","RPS16"
"391","P04259","KRT6B"
"392","Q00839","HNRNPU"
"393","Q5TDH0","DDI2"
"394","P55072","VCP"
"395","P19338","NCL"
