Lane,Type,Value,CellLine,Protein
1,Sample,188.111,WT,beta5
2,Sample,188.103,WT,beta5
3,Sample,187.657,WT,beta5
4,Sample,187.346,WT,beta5
5,Sample,187.83,WT,beta5
6,Sample,187.685,WT,beta5
7,Sample,187.044,WT,beta5
8,Sample,187.206,WT,beta5
9,Sample,186.419,WT,beta5
10,Sample,146.593,WT,beta5
11,Sample,134.539,WT,beta5
12,Sample,134.528,WT,beta5
13,Sample,140.98,WT,beta5
14,Sample,125.691,WT,beta5
15,Sample,123.301,WT,beta5
16,Sample,126.914,WT,beta5
17,Sample,157.033,WT,beta5
18,Sample,180.289,WT,beta5
19,Sample,185.931,WT,beta5
20,Sample,188.247,WT,beta5
21,Sample,188.21,WT,beta5
22,Sample,188.001,WT,beta5
23,Sample,187.802,WT,beta5
24,Sample,187.245,WT,beta5
